149,P0666,43.85,SOLARS
10022,P0666,46.23,SOLARS
40,P0666,51.89,SOLARS
189,P0666,64.76,SOLARS
34,P0666,34.76,SOLARS
39,P0666,50.7,SOLARS
98,P0666,58.72,SOLARS
148,P0666,50.45,SOLARS
88,P0666,33.46,SOLARS
194,P0666,41.41,SOLARS
10002,P0666,42.94,SOLARS
33,P0666,32.22,SOLARS
38,P0666,45.59,SOLARS
242,P0666,42.56,SOLARS
131,P0666,39.69,SOLARS
112,P0666,39.67,SOLARS
205,P0666,58.81,SOLARS
137,P0666,54.58,SOLARS
10010,P0666,40.16,SOLARS
66,P0666,43.98,SOLARS
72,P0666,61.22,SOLARS
215,P0666,68.52,SOLARS
67,P0666,36.74,SOLARS
4,P0666,39.77,SOLARS
10013,P0666,65.59,SOLARS
10034,P0666,54.76,SOLARS
10040,P0666,50.85,SOLARS
153,P0666,50.23,SOLARS
146,P0666,51.5,SOLARS
230,P0666,57.85,SOLARS
10020,P0666,68.86,SOLARS
167,P0666,33.87,SOLARS
28,P0666,47.37,SOLARS
48,P0666,49.82,SOLARS
32,P0666,48.88,SOLARS
200,P0666,90.22,SOLARS
15,P0666,50.21,SOLARS
104,P0666,40.96,SOLARS
122,P0666,18.66,SOLARS
14,P0666,48.82,SOLARS
29,P0666,50.84,SOLARS
177,P0666,47.11,SOLARS
272,P0666,55.78,SOLARS
81,P0666,54.82,SOLARS
144,P0666,38.98,SOLARS
193,P0666,72.58,SOLARS
3,P0666,44.47,SOLARS
233,P0666,44.14,SOLARS
158,P0666,46.63,SOLARS
219,P0666,43.18,SOLARS
10027,P0666,35.76,SOLARS
162,P0666,44.71,SOLARS
231,P0666,69.54,SOLARS
161,P0666,67.94,SOLARS
83,P0666,53.27,SOLARS
169,P0666,57.07,SOLARS
221,P0666,50.49,SOLARS
212,P0666,66.51,SOLARS
10035,P0666,52.27,SOLARS
85,P0666,82.24,SOLARS
76,P0666,62.33,SOLARS
10029,P0666,52.89,SOLARS
37,P0666,54.28,SOLARS
61,P0666,24.38,SOLARS
35,P0666,67.08,SOLARS
184,P0666,35.76,SOLARS
241,P0666,52.43,SOLARS
